metric,value,classifier,n_features,elapsed_time,it,dataset
accuracy_score_test,0.84375,log,38,4.385408639907837,0,chess-king-rook-vs-king-pawn
accuracy_score_test,0.8546875,mcji,22,112.4686176776886,0,chess-king-rook-vs-king-pawn
accuracy_score_test,0.8640625,mic,22,3.2728662490844727,0,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9514866979655712,log,38,2.030231237411499,1,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9530516431924883,mcji,34,107.26462364196777,1,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9342723004694836,mic,30,3.022261142730713,1,chess-king-rook-vs-king-pawn
accuracy_score_test,0.97339593114241,log,38,1.6029751300811768,2,chess-king-rook-vs-king-pawn
accuracy_score_test,0.971830985915493,mcji,34,86.27379131317139,2,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9593114241001565,mic,22,2.679255485534668,2,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9342723004694836,log,38,1.5346229076385498,3,chess-king-rook-vs-king-pawn
accuracy_score_test,0.918622848200313,mcji,19,79.43398809432983,3,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9123630672926447,mic,19,3.918264865875244,3,chess-king-rook-vs-king-pawn
accuracy_score_test,0.945226917057903,log,38,3.2508304119110107,4,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9405320813771518,mcji,19,20.72084331512451,4,chess-king-rook-vs-king-pawn
accuracy_score_test,0.9107981220657277,mic,26,3.3183600902557373,4,chess-king-rook-vs-king-pawn
accuracy_score_test,0.8530805687203792,log,41,0.8985486030578613,0,qsar-biodegradation
accuracy_score_test,0.8530805687203792,mcji,36,132.94764399528503,0,qsar-biodegradation
accuracy_score_test,0.8341232227488151,mic,28,3.081636905670166,0,qsar-biodegradation
accuracy_score_test,0.8909952606635071,log,41,1.3320114612579346,1,qsar-biodegradation
accuracy_score_test,0.8862559241706162,mcji,36,125.04241347312927,1,qsar-biodegradation
accuracy_score_test,0.8862559241706162,mic,36,2.5236034393310547,1,qsar-biodegradation
accuracy_score_test,0.8341232227488151,log,41,1.6294710636138916,2,qsar-biodegradation
accuracy_score_test,0.8341232227488151,mcji,36,85.77750492095947,2,qsar-biodegradation
accuracy_score_test,0.8056872037914692,mic,20,2.283334732055664,2,qsar-biodegradation
accuracy_score_test,0.7582938388625592,log,41,0.7287158966064453,3,qsar-biodegradation
accuracy_score_test,0.7488151658767772,mcji,32,32.4105920791626,3,qsar-biodegradation
accuracy_score_test,0.7298578199052133,mic,32,1.2843353748321533,3,qsar-biodegradation
accuracy_score_test,0.8720379146919431,log,41,0.7744772434234619,4,qsar-biodegradation
accuracy_score_test,0.8672985781990521,mcji,32,8.545062780380249,4,qsar-biodegradation
accuracy_score_test,0.8625592417061612,mic,36,1.4566309452056885,4,qsar-biodegradation
accuracy_score_test,0.6705202312138728,log,21,26.006370306015015,0,car-evaluation
accuracy_score_test,0.7716763005780347,mcji,10,80.79709935188293,0,car-evaluation
accuracy_score_test,0.7687861271676301,mic,18,80.74462032318115,0,car-evaluation
accuracy_score_test,0.8583815028901735,log,21,25.86067295074463,1,car-evaluation
accuracy_score_test,0.8988439306358381,mcji,14,78.64511609077454,1,car-evaluation
accuracy_score_test,0.8670520231213873,mic,16,79.40523862838745,1,car-evaluation
accuracy_score_test,0.8208092485549133,log,21,25.78507423400879,2,car-evaluation
accuracy_score_test,0.8179190751445087,mcji,14,79.69598412513733,2,car-evaluation
accuracy_score_test,0.7658959537572254,mic,18,78.91428732872009,2,car-evaluation
accuracy_score_test,0.7623188405797101,log,21,26.758191108703613,3,car-evaluation
accuracy_score_test,0.7739130434782608,mcji,10,74.0368857383728,3,car-evaluation
accuracy_score_test,0.5449275362318841,mic,18,79.39704608917236,3,car-evaluation
accuracy_score_test,0.6492753623188405,log,21,26.238445281982422,4,car-evaluation
accuracy_score_test,0.5217391304347826,mcji,12,75.29381537437439,4,car-evaluation
accuracy_score_test,0.6782608695652174,mic,12,78.81715559959412,4,car-evaluation
accuracy_score_test,0.9854545454545455,log,4,0.14265060424804688,0,banknote-authentication
accuracy_score_test,0.9272727272727272,mcji,3,0.5543854236602783,0,banknote-authentication
accuracy_score_test,0.9854545454545455,mic,3,0.18044018745422363,0,banknote-authentication
accuracy_score_test,0.9854545454545455,log,4,0.0826864242553711,1,banknote-authentication
accuracy_score_test,0.8727272727272727,mcji,3,0.48239564895629883,1,banknote-authentication
accuracy_score_test,0.9854545454545455,mic,3,0.15844964981079102,1,banknote-authentication
accuracy_score_test,0.9708029197080292,log,4,0.08534646034240723,2,banknote-authentication
accuracy_score_test,0.8759124087591241,mcji,3,0.3487856388092041,2,banknote-authentication
accuracy_score_test,0.9744525547445255,mic,3,0.1617591381072998,2,banknote-authentication
accuracy_score_test,0.9963503649635036,log,4,0.08229541778564453,3,banknote-authentication
accuracy_score_test,0.9197080291970803,mcji,3,0.3743596076965332,3,banknote-authentication
accuracy_score_test,0.9963503649635036,mic,3,0.1609647274017334,3,banknote-authentication
accuracy_score_test,0.9817518248175182,log,4,0.07097935676574707,4,banknote-authentication
accuracy_score_test,0.9051094890510949,mcji,3,0.21926283836364746,4,banknote-authentication
accuracy_score_test,0.9890510948905109,mic,3,0.16283249855041504,4,banknote-authentication
accuracy_score_test,0.49014778325123154,log,23,34.91308903694153,0,thyroid-disease-allbp
accuracy_score_test,0.4088669950738916,mcji,13,109.14089226722717,0,thyroid-disease-allbp
accuracy_score_test,0.23399014778325122,mic,18,97.55822348594666,0,thyroid-disease-allbp
accuracy_score_test,0.3891625615763547,log,23,35.507593393325806,1,thyroid-disease-allbp
accuracy_score_test,0.3817733990147783,mcji,16,106.12457823753357,1,thyroid-disease-allbp
accuracy_score_test,0.5541871921182266,mic,18,93.004953622818,1,thyroid-disease-allbp
accuracy_score_test,0.42610837438423643,log,23,34.85479116439819,2,thyroid-disease-allbp
accuracy_score_test,0.5024630541871922,mcji,11,109.46388363838196,2,thyroid-disease-allbp
accuracy_score_test,0.4827586206896552,mic,18,100.77426338195801,2,thyroid-disease-allbp
accuracy_score_test,0.4839506172839506,log,23,40.03179168701172,3,thyroid-disease-allbp
accuracy_score_test,0.5111111111111111,mcji,16,114.096519947052,3,thyroid-disease-allbp
accuracy_score_test,0.5135802469135803,mic,20,101.70667839050293,3,thyroid-disease-allbp
accuracy_score_test,0.5259259259259259,log,23,40.789358615875244,4,thyroid-disease-allbp
accuracy_score_test,0.5111111111111111,mcji,13,117.18061780929565,4,thyroid-disease-allbp
accuracy_score_test,0.5407407407407407,mic,20,102.82476425170898,4,thyroid-disease-allbp
accuracy_score_test,0.8004509582863585,log,36,6.283014297485352,0,statlog-project-landsat-satellite
accuracy_score_test,0.7948139797068771,mcji,28,68.62664413452148,0,statlog-project-landsat-satellite
accuracy_score_test,0.7970687711386697,mic,32,12.256840705871582,0,statlog-project-landsat-satellite
accuracy_score_test,0.8658399098083427,log,36,6.13401198387146,1,statlog-project-landsat-satellite
accuracy_score_test,0.8692220969560316,mcji,32,63.48962926864624,1,statlog-project-landsat-satellite
accuracy_score_test,0.8534385569334837,mic,18,12.643665313720703,1,statlog-project-landsat-satellite
accuracy_score_test,0.8669673055242391,log,36,6.328573226928711,2,statlog-project-landsat-satellite
accuracy_score_test,0.8523111612175873,mcji,32,46.68012595176697,2,statlog-project-landsat-satellite
accuracy_score_test,0.8703494926719278,mic,32,13.324364423751831,2,statlog-project-landsat-satellite
accuracy_score_test,0.7891770011273957,log,36,6.529682636260986,3,statlog-project-landsat-satellite
accuracy_score_test,0.7857948139797069,mcji,32,42.403398513793945,3,statlog-project-landsat-satellite
accuracy_score_test,0.7891770011273957,mic,18,14.137788772583008,3,statlog-project-landsat-satellite
accuracy_score_test,0.7452085682074409,log,36,6.204192638397217,4,statlog-project-landsat-satellite
accuracy_score_test,0.733934611048478,mcji,32,44.358362913131714,4,statlog-project-landsat-satellite
accuracy_score_test,0.7361894024802705,mic,25,13.825311660766602,4,statlog-project-landsat-satellite
accuracy_score_test,0.5220338983050847,log,12,0.2742166519165039,0,contraceptive-method-choice
accuracy_score_test,0.5186440677966102,mcji,7,3.282820463180542,0,contraceptive-method-choice
accuracy_score_test,0.5288135593220339,mic,9,0.2965109348297119,0,contraceptive-method-choice
accuracy_score_test,0.5220338983050847,log,12,0.21127080917358398,1,contraceptive-method-choice
accuracy_score_test,0.535593220338983,mcji,7,3.5444893836975098,1,contraceptive-method-choice
accuracy_score_test,0.5152542372881356,mic,10,0.278414249420166,1,contraceptive-method-choice
accuracy_score_test,0.5220338983050847,log,12,0.15877032279968262,2,contraceptive-method-choice
accuracy_score_test,0.5288135593220339,mcji,7,2.082162857055664,2,contraceptive-method-choice
accuracy_score_test,0.5016949152542373,mic,7,0.2849457263946533,2,contraceptive-method-choice
accuracy_score_test,0.5204081632653061,log,12,0.14236783981323242,3,contraceptive-method-choice
accuracy_score_test,0.5204081632653061,mcji,10,2.0018391609191895,3,contraceptive-method-choice
accuracy_score_test,0.5,mic,9,0.2584090232849121,3,contraceptive-method-choice
accuracy_score_test,0.48299319727891155,log,12,0.161484956741333,4,contraceptive-method-choice
accuracy_score_test,0.48639455782312924,mcji,6,0.7987279891967773,4,contraceptive-method-choice
accuracy_score_test,0.48299319727891155,mic,9,0.3086984157562256,4,contraceptive-method-choice
accuracy_score_test,0.4781144781144781,log,8,22.556374549865723,0,yeast
accuracy_score_test,0.4882154882154882,mcji,7,51.4496750831604,0,yeast
accuracy_score_test,0.49158249158249157,mic,7,52.40833306312561,0,yeast
accuracy_score_test,0.5016835016835017,log,8,22.02113676071167,1,yeast
accuracy_score_test,0.468013468013468,mcji,7,48.615169525146484,1,yeast
accuracy_score_test,0.41414141414141414,mic,7,53.44738006591797,1,yeast
accuracy_score_test,0.468013468013468,log,8,21.970017433166504,2,yeast
accuracy_score_test,0.5151515151515151,mcji,7,47.714016914367676,2,yeast
accuracy_score_test,0.5185185185185185,mic,7,56.03187346458435,2,yeast
accuracy_score_test,0.46464646464646464,log,8,21.912949323654175,3,yeast
accuracy_score_test,0.5016835016835017,mcji,7,48.95200967788696,3,yeast
accuracy_score_test,0.4781144781144781,mic,7,52.17724919319153,3,yeast
accuracy_score_test,0.47297297297297297,log,8,21.690901517868042,4,yeast
accuracy_score_test,0.5236486486486487,mcji,7,47.055065393447876,4,yeast
accuracy_score_test,0.5135135135135135,mic,7,55.258145332336426,4,yeast
